"Name","c_1","c_2","epochs","num_particles","num_per_layer","num_hidden_layers","omega","_wandb","val_loss","train_loss","epoch"
"divine-sweep-222","2","2.5","250","50","10","1","0.55","null","0.1294503500064214","0.07633064836263656","249"
"comfy-sweep-221","2","2.5","250","50","10","1","0.5","null","0.1112277736266454","0.09649555236101152","249"
"royal-sweep-220","2","2.5","250","50","10","1","0.45","null","0.10001257012287776","0.10106894175211588","249"
"amber-sweep-219","2","2.5","250","50","10","1","0.4","null","0.11857718825340272","0.13052146699693468","249"
"silver-sweep-218","2","2.5","250","50","10","1","0.35","null","0.10848288387060163","0.1064138780037562","249"
"royal-sweep-217","2","2.5","250","50","10","1","0.3","null","0.11669532159964244","0.10337588008907106","249"
"playful-sweep-216","2","2.5","250","50","10","1","0.25","null","0.1769671986500422","0.12997285591231453","249"
"dark-sweep-215","2","2.5","250","50","10","1","0.2","null","0.13526755273342134","0.13209231661425697","249"
"laced-sweep-214","2","2.5","250","50","10","1","0.15","null","0.1441903124252955","0.12144518908527162","249"
"devout-sweep-213","2","2.5","250","50","10","1","0.1","null","0.12567277948061625","0.1293028035097652","249"
"twilight-sweep-212","2","2.5","250","50","10","1","0.05","null","0.15067536930243175","0.139625450472037","249"
"zesty-sweep-211","2","2.5","250","50","10","1","0","null","0.1811231166124344","0.16159214244948494","249"
"northern-sweep-210","2","2.25","250","50","10","1","1","null","0.1638690302769343","0.1702658451265759","249"
"proud-sweep-209","2","2.25","250","50","10","1","0.95","null","0.1973938802878062","0.1915674623515871","249"
"sandy-sweep-208","2","2.25","250","50","10","1","0.9","null","0.20014958083629608","0.18008738656838735","249"
"icy-sweep-207","2","2.25","250","50","10","1","0.85","null","0.14002508521080018","0.1155957246820132","249"
"fallen-sweep-206","2","2.25","250","50","10","1","0.8","null","0.11442406922578811","0.09565585404634476","249"
"fancy-sweep-205","2","2.25","250","50","10","1","0.75","null","0.08290722121795019","0.07153176955050893","249"
"hearty-sweep-204","2","2.25","250","50","10","1","0.7","null","0.07708706210056941","0.0779867089456982","249"
"fluent-sweep-203","2","2.25","250","50","10","1","0.65","null","0.09154182275136312","0.06945026045044263","249"
"elated-sweep-202","2","2.25","250","50","10","1","0.6","null","0.06723647067944209","0.06868227670590082","249"
"pious-sweep-201","2","2.25","250","50","10","1","0.55","null","0.10232462088267008","0.09664879275692834","249"
"comfy-sweep-200","2","2.25","250","50","10","1","0.5","null","0.1458809942007065","0.10229037271605598","249"
"fiery-sweep-199","2","2.25","250","50","10","1","0.45","null","0.0645074521501859","0.06791051137778494","249"
"jolly-sweep-198","2","2.25","250","50","10","1","0.4","null","0.1324038763840993","0.11607257061534458","249"
"efficient-sweep-197","2","2.25","250","50","10","1","0.35","null","0.14459921518961588","0.10628067370918062","249"
"ethereal-sweep-196","2","2.25","250","50","10","1","0.3","null","0.12615203658739726","0.1034730013873842","249"
"pretty-sweep-195","2","2.25","250","50","10","1","0.25","null","0.11403096417586008","0.09573902222845287","249"
"lunar-sweep-194","2","2.25","250","50","10","1","0.2","null","0.1012621561686198","0.08315512521399392","249"
"worldly-sweep-193","2","2.25","250","50","10","1","0.15","null","0.13781714340051016","0.1205266523692343","249"
"sandy-sweep-192","2","2.25","250","50","10","1","0.1","null","0.0987283875544866","0.11247326880693435","249"
"lilac-sweep-191","2","2.25","250","50","10","1","0.05","null","0.14883094429969787","0.136406951977147","249"
"azure-sweep-190","2","2.25","250","50","10","1","0","null","0.15114079018433887","0.12239797429905998","249"
"magic-sweep-189","2","2","250","50","10","1","1","null","0.1967058151960373","0.189377576775021","249"
"fragrant-sweep-188","2","2","250","50","10","1","0.95","null","0.15574199656645457","0.14435541696018642","249"
"pleasant-sweep-187","2","2","250","50","10","1","0.9","null","0.12997320691744488","0.12680289927456115","249"
"radiant-sweep-186","2","2","250","50","10","1","0.85","null","0.11341764827569326","0.11025382495588726","249"
"hopeful-sweep-185","2","2","250","50","10","1","0.8","null","0.08480115284522374","0.061508692138724855","249"
"drawn-sweep-184","2","2","250","50","10","1","0.75","null","0.1028819426894188","0.08304921587308248","249"
"likely-sweep-183","2","2","250","50","10","1","0.7","null","0.15124683578809103","0.09461321930090588","249"
"robust-sweep-182","2","2","250","50","10","1","0.65","null","0.10917859474817912","0.09668676058451336","249"
"fresh-sweep-181","2","2","250","50","10","1","0.6","null","0.10427041153113048","0.0811463948753145","249"
"prime-sweep-180","2","2","250","50","10","1","0.55","null","0.13824642697970072","0.12059297843111884","249"
"tough-sweep-179","2","2","250","50","10","1","0.5","null","0.14034623503684998","0.10915132313966752","249"
"major-sweep-178","2","2","250","50","10","1","0.45","null","0.10374080340067546","0.09717821445729996","249"
"earthy-sweep-177","2","2","250","50","10","1","0.4","null","0.12369716862837474","0.10910651849375833","249"
"glorious-sweep-176","2","2","250","50","10","1","0.35","null","0.10768826007843016","0.11393685539563496","249"
"worldly-sweep-175","2","2","250","50","10","1","0.3","null","0.1410865475734075","0.11011569566196866","249"
"earnest-sweep-174","2","2","250","50","10","1","0.25","null","0.13024055262406667","0.10336026516225603","249"
"good-sweep-173","2","2","250","50","10","1","0.2","null","0.19456609884897869","0.13472723513841628","249"
"youthful-sweep-172","2","2","250","50","10","1","0.15","null","0.14160861670970917","0.13530665238698322","249"
"genial-sweep-171","2","2","250","50","10","1","0.1","null","0.16941397190093993","0.1640414641963111","249"
"spring-sweep-170","2","2","250","50","10","1","0.05","null","0.14407995343208313","0.13918773498800066","249"
"eternal-sweep-169","2","2","250","50","10","1","0","null","0.1352926899989446","0.14239685700999366","249"
"eternal-sweep-168","2","1.75","250","50","10","1","1","null","0.18181648353735605","0.1680448376470142","249"
"wise-sweep-167","2","1.75","250","50","10","1","0.95","null","0.12122436414162316","0.13098834902048112","249"
"chocolate-sweep-166","2","1.75","250","50","10","1","0.9","null","0.12985218167304993","0.11479375958442688","249"
"valiant-sweep-165","2","1.75","250","50","10","1","0.85","null","0.10908370316028596","0.11036275294091968","249"
"volcanic-sweep-164","2","1.75","250","50","10","1","0.8","null","0.09125615060329435","0.07514819271034665","249"
"smooth-sweep-163","null","1.75","null","null","null","null","0.75","null","null","null","null"
"effortless-sweep-162","null","1.75","null","null","null","null","0.7","null","null","null","null"
"easy-sweep-161","2","1.75","250","50","10","1","0.65","null","0.06794481327136358","0.06068301051855087","249"
"still-sweep-159","2","1.75","250","50","10","1","0.55","null","0.15060687363147734","0.11641780833403267","249"
"grateful-sweep-160","2","1.75","250","50","10","1","0.6","null","0.11119205603996912","0.09423077868090736","249"
"major-sweep-158","2","1.75","250","50","10","1","0.5","null","0.09546622087558113","0.07860772179232703","249"
"chocolate-sweep-157","2","1.75","250","50","10","1","0.45","null","0.11045060654481252","0.10143279946512646","249"
"elated-sweep-156","2","1.75","250","50","10","1","0.4","null","0.13927124639352162","0.09998813652329974","249"
"ancient-sweep-155","null","1.75","null","null","null","null","0.35","null","null","null","null"
"noble-sweep-154","null","1.75","null","null","null","null","0.3","null","null","null","null"
"fragrant-sweep-153","null","1.75","null","null","null","null","0.25","null","null","null","null"
"magic-sweep-152","2","1.75","250","50","10","1","0.2","null","0.10610841810703278","0.11158755140172112","249"
"eager-sweep-151","2","1.75","250","50","10","1","0.15","null","0.10447269280751546","0.1132121718592114","249"
"flowing-sweep-150","null","1.75","null","null","null","null","0.1","null","null","null","null"
"colorful-sweep-149","2","1.75","250","50","10","1","0.05","null","0.1480896552403768","0.145145489109887","249"
"wild-sweep-148","2","1.75","250","50","10","1","0","null","0.17349361677964528","0.1722804175482856","249"
"fearless-sweep-147","2","1.5","250","50","10","1","1","null","0.1766809125741323","0.17514874107307857","249"
"true-sweep-146","2","1.5","250","50","10","1","0.95","null","0.13783465226491293","0.12120520638095009","249"
"toasty-sweep-145","2","1.5","250","50","10","1","0.9","null","0.12259430090586344","0.10305266943242816","249"
"dazzling-sweep-144","2","1.5","250","50","10","1","0.85","null","0.13177315493424732","0.11036364833513897","249"
"legendary-sweep-143","2","1.5","250","50","10","1","0.8","null","0.09884618520736696","0.07367499942580859","249"
"glorious-sweep-142","2","1.5","250","50","10","1","0.75","null","0.11455831627051036","0.1080309263534016","249"
"smooth-sweep-141","2","1.5","250","50","10","1","0.7","null","0.07742235412200292","0.07199840197960536","249"
"solar-sweep-140","2","1.5","250","50","10","1","0.65","null","0.13879255652427674","0.09850864311059317","249"
"blooming-sweep-139","2","1.5","250","50","10","1","0.6","null","0.11462704241275788","0.1123311976591746","249"
"brisk-sweep-138","2","1.5","250","50","10","1","0.55","null","0.1407583584388097","0.12030115872621536","249"
"vague-sweep-137","2","1.5","250","50","10","1","0.5","null","0.1254068359732628","0.10293931596808964","249"
"snowy-sweep-136","2","1.5","250","50","10","1","0.45","null","0.14225689073403677","0.1344266068604257","249"
"fancy-sweep-135","2","1.5","250","50","10","1","0.4","null","0.10917614450057347","0.09068024920092688","249"
"fiery-sweep-134","2","1.5","250","50","10","1","0.35","null","0.12255259454250336","0.10339484645260703","249"
"fine-sweep-133","2","1.5","250","50","10","1","0.3","null","0.1373393366734187","0.133395221332709","249"
"effortless-sweep-132","2","1.5","250","50","10","1","0.25","null","0.18007731139659883","0.15011229150825076","249"
"devoted-sweep-131","2","1.5","250","50","10","1","0.2","null","0.1982992152372996","0.15148453778690762","249"
"unique-sweep-130","2","1.5","250","50","10","1","0.15","null","0.2018706778685252","0.1548851516511705","249"
"treasured-sweep-129","2","1.5","250","50","10","1","0.1","null","0.2113637665907542","0.1756990310218599","249"
"valiant-sweep-128","2","1.5","250","50","10","1","0.05","null","0.1756812204917272","0.14239387843343948","249"
"flowing-sweep-127","2","1.5","250","50","10","1","0","null","0.19244359532992045","0.1466067906883028","249"
"misunderstood-sweep-126","2","1.25","250","50","10","1","1","null","0.17499096592267355","0.16065901749663883","249"
"fiery-sweep-125","2","1.25","250","50","10","1","0.95","null","0.12808142801125844","0.1369784388277266","249"
"misty-sweep-124","2","1.25","250","50","10","1","0.9","null","0.08747654308875402","0.08391458921962314","249"
"azure-sweep-123","2","1.25","250","50","10","1","0.85","null","0.07662748048702876","0.056788741052150725","249"
"earthy-sweep-122","2","1.25","250","50","10","1","0.8","null","0.03901389514406522","0.028585627468095884","249"
"lively-sweep-121","2","1.25","250","50","10","1","0.75","null","0.09278235385815302","0.06535720659626855","249"
"restful-sweep-120","2","1.25","250","50","10","1","0.7","null","0.10434678693612416","0.07454774743980831","249"
"morning-sweep-119","2","1.25","250","50","10","1","0.65","null","0.08606324841578801","0.08492796139584648","249"
"iconic-sweep-118","2","1.25","250","50","10","1","0.6","null","0.095596477886041","0.09121302639444669","249"
"worthy-sweep-117","2","1.25","250","50","10","1","0.55","null","0.11620110869407654","0.09473533911837471","249"
"crimson-sweep-116","2","1.25","250","50","10","1","0.5","null","0.1068349892894427","0.0990362665719456","249"
"clear-sweep-115","2","1.25","250","50","10","1","0.45","null","0.12002990742524464","0.11539184285534752","249"
"colorful-sweep-114","2","1.25","250","50","10","1","0.4","null","0.14194590051968892","0.1310513883829117","249"
"twilight-sweep-113","2","1.25","250","50","10","1","0.35","null","0.17853822608788808","0.15205709007051257","249"
"graceful-sweep-112","2","1.25","250","50","10","1","0.3","null","0.1745213250319163","0.1301508237918218","249"
"polar-sweep-111","2","1.25","250","50","10","1","0.25","null","0.18869457145531973","0.1524612459871504","249"
"fallen-sweep-110","2","1.25","250","50","10","1","0.2","null","0.22100058992703756","0.16828396386570402","249"
"gallant-sweep-109","2","1.25","250","50","10","1","0.15","null","0.15532160600026448","0.15979533659087286","249"
"devoted-sweep-108","2","1.25","250","50","10","1","0.1","null","0.187644828359286","0.1937588738070594","249"
"light-sweep-107","2","1.25","250","50","10","1","0.05","null","0.23601675629615784","0.17207187877760993","249"
"unique-sweep-106","2","1.25","250","50","10","1","0","null","0.2003199259440104","0.16303945382436116","249"
"bumbling-sweep-105","2","1","250","50","10","1","1","null","0.17357858618100483","0.1573278374142117","249"
"hardy-sweep-104","2","1","250","50","10","1","0.95","null","0.14423299332459769","0.12010316716300116","249"
"likely-sweep-103","2","1","250","50","10","1","0.9","null","0.10428831974665324","0.09197452581591076","249"
"usual-sweep-102","2","1","250","50","10","1","0.85","null","0.1262447401881218","0.08365665326515834","249"
"gentle-sweep-101","2","1","250","50","10","1","0.8","null","0.10666316598653794","0.1085823631948895","249"
"prime-sweep-100","2","1","250","50","10","1","0.75","null","0.09357773909966152","0.052869752049446106","249"
"atomic-sweep-99","2","1","250","50","10","1","0.7","null","0.09647406587998072","0.07437815169493357","249"
"earthy-sweep-98","2","1","250","50","10","1","0.65","null","0.08479095796744028","0.06982998814847734","249"
"robust-sweep-97","2","1","250","50","10","1","0.6","null","0.10464787483215332","0.08216395096646414","249"
"stellar-sweep-96","2","1","250","50","10","1","0.55","null","0.0982896074652672","0.11307872037092843","249"
"sleek-sweep-95","2","1","250","50","10","1","0.5","null","0.10805639475584032","0.11710099147425758","249"
"giddy-sweep-94","2","1","250","50","10","1","0.45","null","0.1432207405567169","0.14222179585032993","249"
"rich-sweep-93","2","1","250","50","10","1","0.4","null","0.1332372893889745","0.12704273611307143","249"
"sleek-sweep-92","2","1","250","50","10","1","0.35","null","0.12693569759527842","0.13518511950969697","249"
"electric-sweep-91","2","1","250","50","10","1","0.3","null","0.20829424758752188","0.16324943270948197","249"
"golden-sweep-90","2","1","250","50","10","1","0.25","null","0.24258087277412416","0.1893932491540909","249"
"faithful-sweep-89","2","1","250","50","10","1","0.2","null","0.28467135230700175","0.22407180666923524","249"
"swept-sweep-88","2","1","250","50","10","1","0.15","null","0.2655121862888336","0.2351041469309065","249"
"stoic-sweep-87","2","1","250","50","10","1","0.1","null","0.24692316651344295","0.24047010805871752","249"
"lively-sweep-86","2","1","250","50","10","1","0.05","null","0.2099644978841146","0.21901712616284688","249"
"earthy-sweep-85","2","1","250","50","10","1","0","null","0.22831032673517865","0.24488075541125404","249"
"polar-sweep-84","2","0.75","250","50","10","1","1","null","0.1300200363000234","0.14523563583691915","249"
"lively-sweep-83","2","0.75","250","50","10","1","0.95","null","0.14411127467950186","0.1401295052634345","249"
"stoic-sweep-82","2","0.75","250","50","10","1","0.9","null","0.10757478922605516","0.09820213831133312","249"
"feasible-sweep-81","2","0.75","250","50","10","1","0.85","null","0.06611736267805099","0.04963530070251888","249"
"robust-sweep-80","2","0.75","250","50","10","1","0.8","null","0.07348355005184809","0.04986358988616202","249"
"wandering-sweep-79","2","0.75","250","50","10","1","0.75","null","0.07210990637540818","0.05195657163858414","249"
"honest-sweep-78","2","0.75","250","50","10","1","0.7","null","0.0804687961935997","0.06997193412648307","249"
"electric-sweep-77","2","0.75","250","50","10","1","0.65","null","0.07837998966375986","0.06282839766807026","249"
"cool-sweep-76","2","0.75","250","50","10","1","0.6","null","0.09263214667638144","0.07539807210365931","249"
"swift-sweep-75","2","0.75","250","50","10","1","0.55","null","0.11258501410484316","0.12059487137529586","249"
"stellar-sweep-74","2","0.75","250","50","10","1","0.5","null","0.1285653293132782","0.14329213665591345","249"
"good-sweep-73","2","0.75","250","50","10","1","0.45","null","0.13279081284999847","0.13056183689170414","249"
"sleek-sweep-72","2","0.75","250","50","10","1","0.4","null","0.153763285279274","0.14321223497390748","249"
"bright-sweep-71","2","0.75","250","50","10","1","0.35","null","0.1974762996037801","0.1895193000634511","249"
"pretty-sweep-70","2","0.75","250","50","10","1","0.3","null","0.15112857917944592","0.15766865842872196","249"
"electric-sweep-69","2","0.75","250","50","10","1","0.25","null","0.17338299055894216","0.1525257726510366","249"
"cosmic-sweep-68","2","0.75","250","50","10","1","0.2","null","0.2155263731877009","0.18420073522461783","249"
"peach-sweep-67","2","0.75","250","50","10","1","0.15","null","0.21904221177101135","0.19046703345245783","249"
"likely-sweep-66","2","0.75","250","50","10","1","0.1","null","0.2431736965974172","0.2386212405231264","249"
"gentle-sweep-65","2","0.75","250","50","10","1","0.05","null","0.23199104567368825","0.23075545827547708","249"
"wobbly-sweep-64","2","0.75","250","50","10","1","0","null","0.2203821082909902","0.22338948746522264","249"
"fresh-sweep-63","2","0.5","250","50","10","1","1","null","0.1117890313267708","0.11071632355451584","249"
"fallen-sweep-62","2","0.5","250","50","10","1","0.95","null","0.09408995807170868","0.09419098943471908","249"
"resilient-sweep-61","2","0.5","250","50","10","1","0.9","null","0.04266535217563312","0.03707826319668028","249"
"fanciful-sweep-60","2","0.5","250","50","10","1","0.85","null","0.05426037808259328","0.03929852955043315","249"
"solar-sweep-59","2","0.5","250","50","10","1","0.8","null","0.05257487744092941","0.043052698257896635","249"
"lucky-sweep-58","2","0.5","250","50","10","1","0.75","null","0.06999810238679251","0.05037875407271915","249"
"hardy-sweep-57","2","0.5","250","50","10","1","0.7","null","0.10707037349541984","0.09557403789626227","249"
"eager-sweep-56","2","0.5","250","50","10","1","0.65","null","0.11116824348767598","0.11520514455106524","249"
"clear-sweep-55","2","0.5","250","50","10","1","0.6","null","0.0961243152618408","0.10197858727640575","249"
"azure-sweep-54","2","0.5","250","50","10","1","0.55","null","0.11147263298432032","0.12532724175188276","249"
"young-sweep-53","2","0.5","250","50","10","1","0.5","null","0.1190263420343399","0.12711644768714905","249"
"sparkling-sweep-52","2","0.5","250","50","10","1","0.45","null","0.13556708594163258","0.15597505668799083","249"
"floral-sweep-51","2","0.5","250","50","10","1","0.4","null","0.1449986199537913","0.16220871441894108","249"
"pleasant-sweep-50","2","0.5","250","50","10","1","0.35","null","0.157664888103803","0.17344489494959514","249"
"fiery-sweep-49","2","0.5","250","50","10","1","0.3","null","0.16462270319461822","0.18643052809768257","249"
"visionary-sweep-48","2","0.5","250","50","10","1","0.25","null","0.1657130887111028","0.1905720247162713","249"
"lemon-sweep-47","2","0.5","250","50","10","1","0.2","null","0.15619304676850637","0.17338857716984218","249"
"restful-sweep-46","2","0.5","250","50","10","1","0.15","null","0.15963231027126312","0.1740832332107756","249"
"cerulean-sweep-45","2","0.5","250","50","10","1","0.1","null","0.16049807171026867","0.1710074351893531","249"
"likely-sweep-44","2","0.5","250","50","10","1","0.05","null","0.16321734885374706","0.17176725930637785","249"
"pleasant-sweep-43","2","0.5","250","50","10","1","0","null","0.15353943010171253","0.1660290327337053","249"
"daily-sweep-42","2","0.25","250","50","10","1","1","null","0.11281934678554537","0.11418431119786368","249"
"lemon-sweep-41","2","0.25","250","50","10","1","0.95","null","0.09835491428772608","0.09579731590218014","249"
"stoic-sweep-40","2","0.25","250","50","10","1","0.9","null","0.08222873459259669","0.08235176205635071","249"
"misty-sweep-39","2","0.25","250","50","10","1","0.85","null","0.07467515170574188","0.06252936687734392","249"
"devoted-sweep-38","2","0.25","250","50","10","1","0.8","null","0.11232770085334778","0.11361497756507662","249"
"lemon-sweep-37","2","0.25","250","50","10","1","0.75","null","0.05006051833430926","0.044184028853972754","249"
"amber-sweep-36","2","0.25","250","50","10","1","0.7","null","0.05718445181846619","0.04566593017015192","249"
"chocolate-sweep-35","2","0.25","250","50","10","1","0.65","null","0.08671400249004364","0.08280705942047967","249"
"giddy-sweep-34","2","0.25","250","50","10","1","0.6","null","0.1166200598080953","0.1323160194688373","249"
"clean-sweep-33","2","0.25","250","50","10","1","0.55","null","0.1347120702266693","0.15117176042662728","249"
"azure-sweep-32","2","0.25","250","50","10","1","0.5","null","0.15575161278247834","0.17026458183924356","249"
"efficient-sweep-31","2","0.25","250","50","10","1","0.45","null","0.1760679652293523","0.18932912117905087","249"
"magic-sweep-30","2","0.25","250","50","10","1","0.4","null","0.18215657770633695","0.196271022160848","249"
"lunar-sweep-29","2","0.25","250","50","10","1","0.35","null","0.1810635358095169","0.19739410049385497","249"
"zesty-sweep-28","2","0.25","250","50","10","1","0.3","null","0.18013397057851155","0.1961781511704127","249"
"lyric-sweep-27","2","0.25","250","50","10","1","0.25","null","0.17998062670230866","0.1961864047580295","249"
"pious-sweep-26","2","0.25","250","50","10","1","0.2","null","0.1783941000699997","0.19187612069977655","249"
"lyric-sweep-25","2","0.25","250","50","10","1","0.15","null","0.18253197868665055","0.1917450686295827","249"
"faithful-sweep-24","2","0.25","250","50","10","1","0.1","null","0.17617052296797434","0.18673842549324035","249"
"bright-sweep-23","2","0.25","250","50","10","1","0.05","null","0.16468336482842763","0.18050896293587151","249"
"fearless-sweep-22","2","0.25","250","50","10","1","0","null","0.1819655070702235","0.196057747470008","249"
"fast-sweep-21","2","0","250","50","10","1","1","null","0.7337558746337891","0.5909392343627082","249"
"sleek-sweep-20","2","0","250","50","10","1","0.95","null","0.736248807112376","0.5896908680597941","249"
"summer-sweep-19","2","0","250","50","10","1","0.9","null","0.7373444199562073","0.5896672103140089","249"
"charmed-sweep-18","2","0","250","50","10","1","0.85","null","0.7369003494580587","0.5896544602182177","249"
"solar-sweep-17","2","0","250","50","10","1","0.8","null","0.7369346340497335","0.5896542999479506","249"
"peach-sweep-16","2","0","250","50","10","1","0.75","null","0.736919351418813","0.5896542986234029","249"
"different-sweep-15","2","0","250","50","10","1","0.7","null","0.8194153547286988","0.5964768356747098","249"
"youthful-sweep-14","2","0","250","50","10","1","0.65","null","0.8110403617223104","0.5964768356747098","249"
"unique-sweep-13","2","0","250","50","10","1","0.6","null","0.8031519214312236","0.5964768356747098","249"
"dulcet-sweep-12","2","0","250","50","10","1","0.55","null","0.7950726707776388","0.5964768356747098","249"
"cosmic-sweep-10","2","0","250","50","10","1","0.45","null","0.7797070582707722","0.5964768356747098","249"
"smooth-sweep-11","2","0","250","50","10","1","0.5","null","0.7870186607042948","0.5964768356747098","249"
"northern-sweep-9","2","0","250","50","10","1","0.4","null","0.7732581694920858","0.5964768356747098","249"
"comic-sweep-8","2","0","250","50","10","1","0.35","null","0.7667922774950663","0.5964768356747098","249"
"olive-sweep-7","2","0","250","50","10","1","0.3","null","0.7597577929496765","0.5964768356747098","249"
"wobbly-sweep-6","2","0","250","50","10","1","0.25","null","0.7527932524681091","0.5964768356747098","249"
"crisp-sweep-5","2","0","250","50","10","1","0.2","null","0.7465444445610047","0.5964768356747098","249"
"brisk-sweep-4","2","0","250","50","10","1","0.15","null","0.7414373517036438","0.5964768356747098","249"
"morning-sweep-3","2","0","250","50","10","1","0.1","null","0.7380380392074585","0.5964768356747098","249"
"toasty-sweep-2","2","0","250","50","10","1","0.05","null","0.7357345859209696","0.5964768356747098","249"
"clear-sweep-1","2","0","250","50","10","1","0","null","0.733801293373108","0.5964768356747098","249"